Input, Units, Baseline, Low, High
Steel, g, 18.87, 17.42, 34.83
Aluminum, g, 1.69, 1.59, 1.79,
Copper Wire, g, 5.1, 4.8, 5.4
Cathode Active Materials, g, 12.14, 11.43, 12.86
Graphite, g, 9.95, 4.07, 16.04
PVDF, g, 1.21,	0.86, 1.57
LiPF6, g, 1.12,	1.04, 1.19
EC, g, 6.12, 5.72, 6.82
Polypropylene, g, 0.86, 0.81, 0.91
Electricity, kWh/kg, 6.39, 5.76, 6.62
Total,	g, 57.07, 47.75, 81.41
Energy,	kWh, 0.0059,	0.0056,	0.0063
Energy per kmole-mixing, kWh, 514.61,	370.52,	679.28
Energy per kmole -calcining, kWh, 0, 0, 0
Specific Capacity, mAh/kg, 150, 150, 150
Voltage, V, 3.246, 3.246, 3.246
