,US,US,US,NWPP,NWPP,NWPP,RFCM,RFCM,RFCM
,Water,Rail,Road,Water,Rail,Road,Water,Rail,Road
Steel,8250,600,50,6000,600,50,10500,600,50
Aluminum,0,700,50,0,800,50,0,600,50
Copper,0,650,50,0,700,50,0,600,50
Graphite,8250,600,50,6000,600,50,10500,600,50
PVDF,0,500,50,0,500,50,0,500,50
LiPF6,0,500,50,0,500,50,0,500,50
EC,0,500,50,0,500,50,0,500,50
Polyproylene,0,500,50,0,500,50,0,500,50
Nitric Acid,0,500,50,0,500,50,0,500,50
Sulfuric Acid,0,500,50,0,500,50,0,500,50
Nickel,0,500,50,0,300,50,0,300,50
Cobalt,0,1500,50,0,2500,50,0,500,50
Manganese,0,1350,50,0,2000,50,0,700,50
Bauxite,2750,600,50,4000,600,50,1500,600,50
NaOH,0,500,50,0,500,50,0,500,50
Ammonium Hydroxide,0,500,50,0,500,50,0,500,50
Direct Recycling Solvents,0,500,50,0,500,50,0,500,50
Hydro Recycling Solvents,0,500,50,0,500,50,0,500,50
